90
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,221,206
264,93,297,106
297,106,301,155
301,155,303,197
303,197,299,207
261,197,246,196
246,196,237,262
237,262,234,325
234,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
221,206,221,223
218,193,212,214
299,207,299,225
303,197,290,208
91
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,221,206
264,93,297,106
297,106,301,155
301,155,303,197
303,197,299,208
261,197,246,196
246,196,237,261
237,261,234,325
234,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
221,206,221,223
218,193,212,208
299,208,299,225
303,197,290,210
92
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,221,206
264,93,297,106
297,106,301,155
301,155,303,197
303,197,298,208
261,197,246,196
246,196,237,261
237,261,234,325
234,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
221,206,221,223
218,193,213,215
298,208,299,226
303,197,290,208
93
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,221,206
264,93,297,106
297,106,301,155
301,155,303,197
303,197,298,208
261,197,246,196
246,196,237,262
237,262,234,325
234,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
221,206,222,223
218,193,213,209
298,208,298,225
303,197,290,206
94
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,221,206
264,93,297,106
297,106,301,155
301,155,302,197
302,197,297,206
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
221,206,221,223
218,193,213,208
297,206,298,224
302,197,290,207
95
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,222,206
264,93,297,106
297,106,301,155
301,155,302,194
302,194,296,207
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,346
263,136,264,93
222,206,222,223
218,193,214,208
296,207,296,224
302,194,289,209
96
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,222,206
264,93,297,106
297,106,301,155
301,155,302,194
302,194,296,209
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,345
263,136,264,93
222,206,222,223
218,193,213,208
296,209,295,226
302,194,289,209
97
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,218,193
218,193,222,206
264,93,297,106
297,106,301,155
301,155,302,193
302,193,296,206
261,197,246,196
246,196,237,262
237,262,234,325
234,325,229,348
261,197,276,198
276,198,279,264
279,264,282,325
282,325,282,345
263,136,264,93
222,206,222,222
218,193,214,211
296,206,295,224
302,193,289,208
98
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,193
219,193,222,206
264,93,297,106
297,106,301,155
301,155,302,193
302,193,297,205
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,279,263
279,263,282,325
282,325,282,346
263,136,264,93
222,206,222,222
219,193,213,205
297,205,297,223
302,193,289,207
99
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,192
219,192,222,206
264,93,297,106
297,106,303,153
303,153,305,189
305,189,302,203
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,278,263
278,263,282,325
282,325,282,346
263,136,264,93
222,206,223,223
219,192,213,205
302,203,302,218
305,189,293,205
100
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,192
219,192,222,206
264,93,297,106
297,106,303,153
303,153,305,189
305,189,302,203
261,197,246,196
246,196,237,262
237,262,234,334
234,334,229,348
261,197,276,198
276,198,278,263
278,263,283,335
283,335,282,346
263,136,264,93
222,206,223,223
219,192,213,205
302,203,302,218
305,189,293,205
101
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,192
219,192,222,205
264,93,297,106
297,106,309,146
309,146,311,174
311,174,310,190
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,278,263
278,263,282,325
282,325,282,346
263,136,264,93
222,205,222,222
219,192,214,204
310,190,311,205
311,174,302,192
102
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,192
219,192,222,205
264,93,297,106
297,106,314,144
314,144,310,159
310,159,317,166
261,197,246,196
246,196,237,262
237,262,235,324
235,324,229,347
261,197,276,198
276,198,278,262
278,262,282,325
282,325,282,346
263,136,264,93
222,205,222,223
219,192,213,205
317,166,319,173
310,159,310,164
103
261,197,261,197
261,197,263,136
264,93,265,79
265,79,267,50
264,93,231,103
231,103,221,151
221,151,219,192
219,192,221,206
264,93,297,106
297,106,316,143
316,143,308,148
308,148,323,130
261,197,246,196
246,196,237,262
237,262,234,325
234,325,229,348
261,197,276,198
276,198,278,262
278,262,282,325
282,325,282,346
263,136,264,93
221,206,222,223
219,192,213,215
323,130,327,130
308,148,320,129
104
261,197,261,197
261,197,263,137
264,93,264,79
264,79,267,50
264,93,231,103
231,103,220,151
220,151,218,192
218,192,221,206
264,93,297,106
297,106,325,134
325,134,327,111
327,111,328,95
261,197,246,196
246,196,237,262
237,262,235,325
235,325,229,348
261,197,276,198
276,198,278,262
278,262,282,325
282,325,282,346
263,137,264,93
221,206,221,223
218,192,212,203
328,95,332,85
327,111,323,88
105
261,197,261,197
261,197,263,137
264,93,264,79
264,79,267,50
264,93,231,103
231,103,220,150
220,150,218,192
218,192,220,206
264,93,296,106
296,106,330,117
330,117,330,77
330,77,331,56
261,197,246,196
246,196,237,262
237,262,234,325
234,325,229,348
261,197,276,198
276,198,278,263
278,263,282,325
282,325,282,346
263,137,264,93
220,206,219,223
218,192,211,205
331,56,337,41
330,77,323,50
106
261,197,261,197
261,197,263,137
264,93,264,79
264,79,267,50
264,93,231,103
231,103,220,150
220,150,217,191
217,191,218,206
264,93,296,106
296,106,328,96
328,96,329,48
329,48,330,27
261,197,246,196
246,196,237,262
237,262,234,326
234,326,229,348
261,197,276,198
276,198,278,263
278,263,282,325
282,325,282,346
263,137,264,93
218,206,219,223
217,191,211,205
330,27,333,8
329,48,324,21
107
261,197,261,197
261,197,263,137
264,93,264,79
264,79,267,50
264,93,231,103
231,103,220,150
220,150,217,191
217,191,218,206
264,93,296,106
296,106,328,96
328,96,329,48
329,48,330,27
261,197,246,196
246,196,237,262
237,262,234,335
234,335,229,348
261,197,276,198
276,198,278,263
278,263,283,335
283,335,282,346
263,137,264,93
218,206,219,223
217,191,211,205
330,27,333,8
329,48,324,21
108
261,197,261,197
261,197,263,137
264,93,264,80
264,80,267,50
264,93,231,103
231,103,219,150
219,150,216,190
216,190,215,206
264,93,296,105
296,105,326,84
326,84,328,31
328,31,326,15
261,197,246,196
246,196,237,262
237,262,234,326
234,326,229,348
261,197,276,198
276,198,278,262
278,262,282,325
282,325,282,346
263,137,264,93
215,206,218,223
216,190,211,208
326,15,327,2
328,31,320,24
109
261,197,261,197
261,197,263,136
264,93,264,80
264,80,267,50
264,93,231,103
231,103,219,149
219,149,215,189
215,189,214,205
264,93,295,102
295,102,325,75
325,75,327,25
327,25,324,16
261,197,246,196
246,196,237,262
237,262,234,326
234,326,229,348
261,197,276,197
276,197,278,262
278,262,282,324
282,324,282,346
263,136,264,93
214,205,217,222
215,189,211,207
324,16,321,1
327,25,320,28
110
261,196,261,196
261,196,263,136
264,93,264,80
264,80,267,50
264,93,231,103
231,103,219,148
219,148,214,188
214,188,213,204
264,93,295,100
295,100,323,68
323,68,327,18
327,18,323,17
261,196,246,196
246,196,237,261
237,261,234,326
234,326,229,348
261,196,276,197
276,197,278,262
278,262,282,324
282,324,282,346
263,136,264,93
213,204,216,221
214,188,206,203
323,17,322,2
327,18,318,21
111
261,196,261,196
261,196,263,136
264,93,264,79
264,79,267,50
264,93,231,103
231,103,218,148
218,148,214,188
214,188,213,203
264,93,295,100
295,100,319,63
319,63,324,13
324,13,322,17
261,196,246,196
246,196,237,261
237,261,234,326
234,326,229,348
261,196,276,197
276,197,278,261
278,261,282,324
282,324,282,346
263,136,264,93
213,203,215,220
214,188,206,203
322,17,320,2
324,13,316,18
112
261,196,261,196
261,196,263,136
264,93,264,79
264,79,267,50
264,93,231,103
231,103,218,148
218,148,213,187
213,187,212,203
264,93,295,97
295,97,318,58
318,58,323,8
323,8,320,17
261,196,246,195
246,195,237,261
237,261,234,325
234,325,229,347
261,196,276,196
276,196,278,261
278,261,282,324
282,324,282,346
263,136,264,93
212,203,214,219
213,187,210,205
320,17,320,1
323,8,314,17
113
261,195,261,195
261,195,263,136
264,93,264,79
264,79,267,50
264,93,231,103
231,103,218,148
218,148,212,187
212,187,212,203
264,93,295,97
295,97,315,56
315,56,322,6
322,6,318,17
261,195,246,195
246,195,237,261
237,261,234,325
234,325,229,348
261,195,276,195
276,195,278,261
278,261,282,324
282,324,282,346
263,136,264,93
212,203,213,219
212,187,204,203
318,17,319,2
322,6,312,15
114
261,195,261,195
261,195,263,136
264,93,264,79
264,79,267,50
264,93,231,103
231,103,217,148
217,148,212,186
212,186,211,202
264,93,294,95
294,95,314,53
314,53,320,4
320,4,317,17
261,195,246,195
246,195,237,261
237,261,234,325
234,325,229,348
261,195,276,195
276,195,279,259
279,259,282,324
282,324,282,346
263,136,264,93
211,202,213,219
212,186,207,204
317,17,318,2
320,4,323,18
115
261,195,261,195
261,195,263,136
264,93,264,79
264,79,267,51
264,93,231,103
231,103,217,147
217,147,212,186
212,186,211,202
264,93,294,95
294,95,313,53
313,53,319,4
319,4,316,17
261,195,246,194
246,194,237,261
237,261,234,325
234,325,229,348
261,195,276,195
276,195,279,258
279,258,282,324
282,324,282,346
263,136,264,93
211,202,212,219
212,186,203,203
316,17,318,2
319,4,310,13
116
261,194,261,194
261,194,263,135
264,93,264,79
264,79,267,51
264,93,231,103
231,103,217,147
217,147,211,186
211,186,210,202
264,93,294,95
294,95,312,53
312,53,319,3
319,3,317,17
261,194,246,194
246,194,237,261
237,261,234,325
234,325,229,347
261,194,276,194
276,194,279,258
279,258,282,324
282,324,282,346
263,135,264,93
210,202,212,219
211,186,205,204
317,17,318,1
319,3,324,25
117
261,194,261,194
261,194,263,135
264,93,264,79
264,79,267,51
264,93,231,103
231,103,217,147
217,147,211,186
211,186,210,202
264,93,294,95
294,95,313,54
313,54,321,4
321,4,320,17
261,194,246,194
246,194,237,261
237,261,234,326
234,326,229,347
261,194,276,194
276,194,279,259
279,259,282,324
282,324,282,346
263,135,264,93
210,202,212,219
211,186,204,204
320,17,320,1
321,4,327,20
118
261,194,261,194
261,194,263,135
264,93,264,79
264,79,267,51
264,93,231,103
231,103,217,147
217,147,211,186
211,186,211,201
264,93,294,95
294,95,319,60
319,60,324,10
324,10,323,19
261,194,246,194
246,194,237,261
237,261,234,326
234,326,229,347
261,194,276,194
276,194,279,260
279,260,282,324
282,324,282,346
263,135,264,93
211,201,213,218
211,186,203,202
323,19,322,2
324,10,317,15
119
261,194,261,194
261,194,263,136
264,93,264,79
264,79,266,51
264,93,231,103
231,103,216,147
216,147,211,185
211,185,211,201
264,93,293,97
293,97,323,69
323,69,328,20
328,20,326,18
261,194,246,194
246,194,237,261
237,261,234,326
234,326,229,348
261,194,276,194
276,194,279,261
279,261,282,324
282,324,282,346
263,136,264,93
211,201,213,218
